Date,Time,solar,temp,wind,RH,soil_pressure,P_atm,Tleaf,kmax,b,c,Vmax25,Jmax25,r,XRI,LABA
2020/11/24,11,81.785,18.1405,0,65.928,1.248191344,100.104,16.77,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/24,16,63.52,18.1405,0,61.194,1.329379442,100.152,17.232,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/25,9,150.15,17.8905,0,52.218,1.329379442,100.732,16.638,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/25,12,173.95,18.6415,0,47.506,1.354081199,100.632,18.242,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/25,16,292.95,22.3955,0,46.524,1.43133865,100.478,19.97,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/26,9,179.05,23.646,0,47.488,1.349878843,100.578,18.358,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/26,12,615.3,26.646,0,59.798,1.446233157,100.528,23.702,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/26,16,415.35,27.8955,0,60.768,1.451290987,100.316,25.606,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/30,9,250.45,26.896,0,50.3,1.258481569,100.086,19.966,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/30,12,679.4,24.896,0,59.788,1.768161034,100.11,23.726,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/11/30,16,456.25,25.396,0,60.14666667,3.289273732,100.0216667,22.71166667,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/02,9,244.55,32.888,0,40.97833333,2.147694505,100.5783333,21.64166667,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/02,12,689.7,28.645,0,47.748,2.091613047,100.402,28.166,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/02,16,531.8,26.146,0,48.472,2.039291527,100.112,29.752,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/03,9,249.25,22.145,0,57.51,1.978582807,100.268,20.332,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/03,12,704.75,31.641,0,41.264,1.990336362,100.176,34.204,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/03,16,526.75,30.143,0,44.672,2.014415485,100.144,31.088,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/04,9,244.9,28.6445,0,43.836,1.990336362,100.384,22.44,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/04,12,696.25,31.641,0,36.738,2.014415485,100.404,32.764,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/04,16,533,33.139,0,36.266,2.014415485,100.168,34.516,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/08,9,65.65,19.893,0,62.496,1.94440883,100.09,18.466,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/08,12,141.85,23.396,0,54.956,2.147694505,100.058,24.01,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/08,16,259.8,29.1445,0,50.81,3.006844711,99.764,26.216,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/11,9,172.6,23.146,0,58.238,2.177286073,99.934,21.676,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/11,16,95.75,20.1435,0,56.238,2.119156736,99.976,20.9,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/14,9,245.95,23.646,0,55.628,1.990336362,99.9,20.986,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/14,16,257.6,24.396,0,50.034,2.002278923,99.932,30.384,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/15,9,253.4,26.646,0,50.886,1.990336362,100.2,22.98,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/16,9,251.2,21.1445,0,54.186,1.96701344,100.122,20.296,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/17,9,222.7,22.896,0,60.146,2.526116532,100.098,20.11,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/21,9,265.05,30.892,0,52.328,2.039291527,99.624,24.806,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/22,9,254.5,30.8915,0,57.226,1.978582807,99.406,24.57,450,2.9,5.7,65,185,4.36,0.1838,1395.518
2020/12/23,9,200.6,24.396,0,62.588,1.933364763,100.012,22.268,450,2.9,5.7,65,185,4.36,0.1838,1395.518
