Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;62,532;1,279762188;100,054;18,026;264,2602;1,4945058;0,21;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/24;16;63,52;18,1405;0;59,94666667;1,2982511;100,1316667;17,42;202,120833;1,149919333;0,205;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/25;9;150,15;17,8905;0;50,28;1,283403466;100,72;17,208;222,7924;1,6010822;0,209;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/25;12;173,95;18,6415;0;47,826;1,294496103;100,616;18,028;215,9822;1,9753932;0,206;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/25;16;292,95;22,3955;0;45,496;1,313568212;100,464;18,95;246,6468;2,3925132;0,201;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/26;9;179,05;23,646;0;46,544;1,290770071;100,554;19,116;266,3396;2,445103;0,207;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/26;12;615,3;26,646;0;59,41;1,317473695;100,52;22,388;284,3146;3,075346;0,2;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/26;16;415,35;27,8955;0;59,098;1,329379442;100,266;22,394;221,146;2,2033192;0,197;350;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/30;9;250,45;26,896;0;50,978;1,325378896;100,052;19,914;305,6182;2,9461148;0,198;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/30;12;679,4;24,896;0;57,472;1,389010689;100,092;21,564;330,5046;3,1882596;0,183;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/11/30;16;456,25;25,396;0;55,122;1,629091593;100,004;19,554;218,544;1,629653;0,14;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/01;9;132,2;19,142;0;53,322;2,207996249;100,386;18,064;222,9966;1,7091506;0,084;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/01;12;231,5;20,644;0;58,954;2,645470076;100,416;20,716;292,0318;2,3991998;0,062;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/02;9;244,55;32,888;0;43,822;1,87046038;100,57;19,814;276,594;3,111101;0,111;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/02;12;689,7;28,645;0;49,012;1,901215667;100,4;23,324;302,4816;3,85662;0,108;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/02;16;531,8;26,146;0;49,33;1,94440883;100,1;23,01;152,7906;1,8939024;0,104;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/03;9;249,25;22,145;0;55,718;1,860501544;100,254;19,662;238,126;2,1212072;0,112;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/03;12;704,75;31,641;0;44,77;1,922487223;100,19;27,494;269,5598;5,3426812;0,106;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/03;16;526,75;30,143;0;44,4325;1,911772161;100,155;25,08;346,1615;4,39958075;0,107;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/04;9;244,9;28,6445;0;47,568;1,850683553;100,352;20,956;328,2086;3,6386118;0,113;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/08;9;65,65;19,893;0;59,812;1,850683553;100,08;18,44;276,5736;1,7245324;0,113;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/08;12;141,85;23,396;0;55,924;1,901215667;100,042;23,11;411,1184;3,7239072;0,108;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/08;16;259,8;29,1445;0;52,792;2,133297741;99,726;23,79;421,15;4,4206616;0,089;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/09;9;116,3;21,645;0;65,22;2,400390605;99,988;20,478;290,4398;1,8075486;0,073;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/11;9;172,6;23,146;0;57,622;1,841003192;99,91;20,272;168,6908;1,4152632;0,114;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/14;9;245,95;23,646;0;56,324;1,87046038;99,878;21,12;362,174;3,5158306;0,111;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/14;16;257,6;24,396;0;50,758;1,890813958;99,932;22,7;419,0448;3,7968322;0,109;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/15;9;253,4;26,646;0;54,514;1,87046038;100,164;21,558;403,4166;4,0438886;0,111;950;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/16;9;251,2;21,1445;0;53,682;1,860501544;100,106;19,986;285,0082;2,692965;0,112;1050;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/21;9;265,05;30,892;0;52,082;1,922487223;99,58;26,252;96,0892;1,5508808;0,106;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/22;9;254,5;30,8915;0;57,362;1,922487223;99,382;24,466;239,3242;2,754406;0,106;550;2,9;5,7;55;125;4,36;0,1838;1026,627
2020/12/23;9;200,6;24,396;0;64,788;1,922487223;99,976;22,278;311,8134;2,6980004;0,106;550;2,9;5,7;55;125;4,36;0,1838;1026,627
