Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax
2020/11/24;11;81,785;18,1405;0;64,692;1,602002125;100,072;17,436;307,776;1,4383066;0,144;450
2020/11/24;16;63,52;18,1405;0;60,46;1,679597662;100,148;17,154;235,1036;1,2726254;0,133;450
2020/11/25;9;150,15;17,8905;0;51,67;1,664741676;100,728;16,484;274,5862;1,7014234;0,135;450
2020/11/25;12;173,95;18,6415;0;48,416;1,710406223;100,63;17,632;277,6498;2,294998;0,129;450
2020/11/25;16;292,95;22,3955;0;45,28;1,794560265;100,468;19,414;215,7646;2,25729;0,119;450
2020/11/26;9;179,05;23,646;0;47,478;1,687160034;100,58;18,398;319,7746;2,58898;0,132;450
2020/11/26;12;615,3;26,646;0;60,626;1,841003192;100,522;22,188;369,3368;3,5412782;0,114;450
2020/11/26;16;415,35;27,8955;0;62,944;1,850683553;100,294;23,542;386,8536;3,7251764;0,113;450
2020/11/30;9;250,45;26,896;0;51,522;1,742777503;100,072;19,354;333,811;2,81127;0,125;650
2020/11/30;12;679,4;24,896;0;60,492;1,850683553;100,098;21,64;447,4556;3,8588254;0,113;650
2020/11/30;16;456,25;25,396;0;59,048;1,922487223;100,016;20,314;338,4832;2,4251792;0,106;650
2020/12/01;9;132,2;19,142;0;54,406;2,052041956;100,402;17,688;287,7522;1,970999;0,095;650
2020/12/01;12;231,5;20,644;0;60,368;2,256314741;100,434;19,454;340,588;2,0753082;0,081;650
2020/12/01;16;434,2;26,646;0;52,772;2,343531353;100,486;21,458;490,4736;4,3306096;0,076;650
2020/12/02;9;244,55;32,888;0;43,65;2,325367093;100,586;18,352;320,5154;2,9255042;0,077;1600
2020/12/02;12;689,7;28,645;0;52,056;2,381029301;100,404;22,55;497,352;5,120444;0,074;1600
2020/12/02;16;531,8;26,146;0;51,896;2,461104336;100,1;24,594;294,6048;3,7128006;0,07;1600
2020/12/03;9;249,25;22,145;0;57,91;2,343531353;100,27;18,032;379,3316;2,3905682;0,076;1600
2020/12/03;12;704,75;31,641;0;46,9;2,5039379;100,184;25,18;418,4178;5,5075136;0,068;1600
2020/12/03;16;526,75;30,143;0;47,846;2,482273542;100,134;26,388;453,608;5,7682014;0,069;1600
2020/12/04;9;244,9;28,6445;0;47,132;2,36208093;100,374;20,098;326,0926;3,136201;0,075;1600
2020/12/04;12;696,25;31,641;0;40,276;2,5039379;100,412;26,488;343,5346;5,5750674;0,068;1600
2020/12/08;9;65,65;19,893;0;61,084;2,343531353;100,088;18,438;277,6718;1,678527;0,076;1600
2020/12/08;12;141,85;23,396;0;56,152;2,400390605;100,054;23,31;455,0604;4,0357904;0,073;1600
2020/12/08;16;259,8;29,1445;0;53,074;2,5039379;99,714;24,438;446,8768;4,76275;0,068;1600
2020/12/09;9;116,3;21,645;0;66,156;2,290143695;100,006;20,18;341,7294;1,8688252;0,079;1600
2020/12/10;9;242,65;25,146;0;61,44;2,36208093;99,85;20,048;406,8442;2,623723;0,075;1600
2020/12/10;16;522,45;29,8935;0;54,204;2,595945324;99,682;26,72;387,0812;5,6845726;0,064;1600
2020/12/11;9;172,6;23,146;0;59,25;2,381029301;99,928;19,834;285,0616;2,031977;0,074;1400
2020/12/11;16;95,75;20,1435;0;56,832;2,400390605;99,978;19,766;294,5774;2,0511724;0,073;1400
2020/12/14;9;245,95;23,646;0;56,024;2,420179684;99,898;19,348;368,5106;2,6554358;0,072;1400
2020/12/14;16;257,6;24,396;0;53,158;2,461104336;99,942;25,066;450,6934;5,3962916;0,07;1400
2020/12/15;9;253,4;26,646;0;53,8;2,461104336;100,186;20,7;369,3588;3,2211566;0,07;1400
2020/12/16;9;251,2;21,1445;0;53,258;2,400390605;100,1;18,454;291,5276;2,1845418;0,073;1150
2020/12/17;9;222,7;22,896;0;59,032;2,461104336;100,082;19,322;289,5716;1,9620106;0,07;1150
2020/12/18;9;254,7;28,645;0;50,485;2,572098376;99,80166667;21,17833333;277,367667;2,751633333;0,065;1150
2020/12/19;9;242,05;25,646;0;66,988;2,461104336;99,664;21,154;272,1056;1,5552686;0,07;1150
2020/12/21;9;265,05;30,892;0;53,05;2,752600273;99,618;23,82;262,9704;2,7899036;0,058;1600
2020/12/22;9;254,5;30,8915;0;58,144;2,697610885;99,4;23,52;319,7156;2,9018386;0,06;1600
2020/12/23;9;200,6;24,396;0;63,19;2,5488296;99,982;21,13;324,6474;2,2676754;0,066;1600
