Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax
2020/11/24;11;81,785;18,1405;0;64,478;1,451290987;100,078;17,748;126,7324;0,716234;0,17;150
2020/11/24;16;63,52;18,1405;0;59,898;1,482665672;100,15;17,406;75,788;0,4864092;0,164;150
2020/11/25;9;150,15;17,8905;0;51,018;1,472006596;100,718;17,196;122,1774;0,961478;0,166;150
2020/11/25;12;173,95;18,6415;0;45,608;1,477310371;100,628;19,018;46,876;0,5420514;0,165;150
2020/11/25;16;292,95;22,3955;0;44,294;1,49353415;100,474;19,982;99;1,1703964;0,162;150
2020/11/26;9;179,05;23,646;0;44,932;1,472006596;100,574;19,394;50,095;0,5508912;0,166;150
2020/11/26;12;615,3;26,646;0;57,52;1,488073319;100,504;25,622;70,0418;1,1937002;0,163;150
2020/11/26;16;415,35;27,8955;0;59,604;1,49353415;100,298;27,144;65,6216;1,2399932;0,162;150
2020/11/30;9;250,45;26,896;0;50,554;1,461550438;100,078;20,324;220,2152;2,2476718;0,168;950
2020/11/30;12;679,4;24,896;0;61,34;1,477310371;100,096;22,694;442,6722;4,3792158;0,165;950
2020/11/30;16;456,25;25,396;0;58,572;1,482665672;99,998;24,882;101,037;1,5987472;0,164;950
2020/12/01;9;132,2;19,142;0;55,08;2,052041956;100,402;18,178;287,4056;2,1314844;0,095;950
2020/12/01;12;231,5;20,644;0;61,854;2,36208093;100,432;19,818;530,5822;3,243922;0,075;950
2020/12/01;16;434,2;26,646;0;52,364;2,482273542;100,496;22,364;501,6178;5,1426272;0,069;950
2020/12/02;9;244,55;32,888;0;44,402;2,461104336;100,586;18,874;378,4738;3,5539068;0,07;1950
2020/12/02;12;689,7;28,645;0;52,676;2,5039379;100,406;23,968;455,9434;5,5133116;0,068;1950
2020/12/02;16;531,8;26,146;0;51,5475;2,482273542;100,1025;26,76;189,2535;3,5024085;0,069;1950
2020/12/03;9;249,25;22,145;0;59,738;2,440412131;100,262;18,87;353,7256;2,4780156;0,071;1950
2020/12/03;12;704,75;31,641;0;46,166;2,5039379;100,182;28,818;262,434;5,1312492;0,068;1950
2020/12/03;16;526,75;30,143;0;47,006;2,482273542;100,118;28,178;330,9266;5,8303088;0,069;1950
2020/12/04;9;244,9;28,6445;0;48,422;2,420179684;100,376;20,338;490,6584;4,472487;0,072;1950
2020/12/08;9;65,65;19,893;0;62,842;2,440412131;100,092;18,046;519,1674;2,5354938;0,071;2350
2020/12/08;12;141,85;23,396;0;57,29;2,461104336;100,052;23,486;661,1806;5,6122172;0,07;2350
2020/12/09;9;116,3;21,645;0;67,32;2,440412131;100,006;20,312;581,912;2,9523954;0,071;2350
2020/12/10;9;242,65;25,146;0;62,296;2,482273542;99,85;20,268;618,9422;3,7785644;0,069;2350
2020/12/11;9;172,6;23,146;0;61,002;1,978582807;99,93;19,882;574,0108;3,5625778;0,101;1550
2020/12/11;16;95,75;20,1435;0;57,728;1,990336362;99,974;19,746;358,2372;2,4276454;0,1;1550
2020/12/14;9;245,95;23,646;0;57,006;1,955623611;99,898;19,626;508,3522;3,595716;0,103;1550
2020/12/15;9;253,4;26,646;0;54,66;1,96701344;100,19;21,144;526,8204;4,4747606;0,102;1550
2020/12/16;9;251,2;21,1445;0;54,642;1,955623611;100,108;18,868;457,0096;3,3345546;0,103;1150
2020/12/17;9;222,7;22,896;0;60,886;1,955623611;100,088;19,618;461,8856;2,9709148;0,103;1150
2020/12/18;9;254,7;28,645;0;52,01;1,94440883;99,8;21,352;451,291;4,1955206;0,104;1150
2020/12/19;9;242,05;25,646;0;68,074;1,94440883;99,656;21,164;455,3418;2,3881236;0,104;1150
2020/12/21;9;265,05;30,892;0;53,666;1,955623611;99,612;23,732;524,13;5,0770332;0,103;1550
2020/12/22;9;254,5;30,8915;0;59,844;1,955623611;99,398;23,532;598,233;4,7428452;0,103;1550
2020/12/23;9;200,6;24,396;0;64,164;1,94440883;99,986;21,18;547,3808;3,4726646;0,104;1550
