Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;63,306;1,776844697;100,058;18,478;139,881;0,9109726;0,121;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/24;16;63,52;18,1405;0;60,266;1,860501544;100,142;17,284;224,431;1,235893;0,112;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/25;9;150,15;17,8905;0;51,086;1,822043017;100,726;17,188;255,6052;1,8420816;0,116;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/25;12;173,95;18,6415;0;46,904;1,831457352;100,626;18,626;129,115;1,3318146;0,115;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/25;16;292,95;22,3955;0;43,992;1,860501544;100,468;20,532;47,8458;0,6239158;0,112;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/26;9;179,05;23,646;0;46,276;1,803597263;100,57;19,412;212,2478;2,100927;0,118;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/26;12;615,3;26,646;0;57,462;1,850683553;100,532;23,914;76,3054;1,1241858;0,113;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/26;16;415,35;27,8955;0;58,378;1,87046038;100,282;26,116;52,8888;0,9459664;0,111;350;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/30;9;250,45;26,896;0;51,066;1,822043017;100,066;19,522;310,4296;2,77753;0,116;1150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/30;12;679,4;24,896;0;58,842;1,890813958;100,098;23,302;257,3262;3,1387054;0,109;1150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/11/30;16;456,25;25,396;0;56,188;2,065008305;100,008;20,698;157,8038;1,462222;0,094;1150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/01;9;132,2;19,142;0;54,08;2,781243825;100,398;18,126;294,5248;2,2211222;0,057;1150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/01;12;231,5;20,644;0;59,694;3,159845615;100,422;20,164;333,045;2,4120206;0,046;1150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/02;9;244,55;32,888;0;43,808;2,937460985;100,582;18,98;316,4314;3,1753048;0,052;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/02;12;689,7;28,645;0;50,798;2,971610263;100,41;23,59;406,5674;4,955871;0,051;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/02;16;531,8;26,146;0;51,012;3,006844711;100,106;25,992;179,9106;3,060799;0,05;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/03;9;249,25;22,145;0;56,676;2,971610263;100,262;18,424;266,8804;1,893344;0,051;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/03;12;704,75;31,641;0;44,18;3,04322157;100,182;27,86;242,5826;4,9496108;0,049;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/03;16;526,75;30,143;0;46,8;3,080802351;100,148;28,104;309,7122;5,5119288;0,048;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/04;9;244,9;28,6445;0;47,216;3,006844711;100,378;20,822;293,8282;3,1980162;0,05;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/08;9;65,65;19,893;0;61,164;3,11965325;100,088;18,276;420,1718;2,3223984;0,047;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/08;12;141,85;23,396;0;56,512;3,244569102;100,052;23,726;497,4434;4,7210462;0,044;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/11;9;172,6;23,146;0;59,44;2,381029301;99,922;20,276;396,962;2,9281618;0,074;1950;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/11;16;95,75;20,1435;0;57,246;2,420179684;99,97;19,97;450,0482;3,0375352;0,072;1950;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/14;9;245,95;23,646;0;56,12166667;2,325367093;99,89;19,89166667;434,890667;3,3945155;0,077;1950;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/15;9;253,4;26,646;0;54,03;2,325367093;100,17;21,08;409,158;3,8248062;0,077;1950;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/16;9;251,2;21,1445;0;54,042;2,307575296;100,104;19,05;361,3422;2,8734832;0,078;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/17;9;222,7;22,896;0;59,368;2,781243825;100,084;19,692;357,3442;2,5120218;0,057;3150;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/21;9;265,05;30,892;0;53,892;2,381029301;99,608;24,254;388,3564;4,2625948;0,074;2550;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/22;9;254,5;30,8915;0;58,1;2,461104336;99,398;23,79;369,6908;3,5514728;0,07;2550;2,6;3,3;30;200;4,36;0,1838;787,2481
2020/12/23;9;200,6;24,396;0;64,248;2,420179684;99,974;21,54;399,8412;2,926505;0,072;2550;2,6;3,3;30;200;4,36;0,1838;787,2481
